questions,answer,age_group
How do you usually greet your friends in chat?,Hey hey 👍!!,Gen Alpha
How do you usually greet your friends in chat?,Hiya 😎!,Gen Alpha
How do you usually greet your friends in chat?,Heyyo ✨!!,Gen Alpha
How do you usually greet your friends in chat?,Hey! 🤩,Gen Alpha
How do you usually greet your friends in chat?,Hiya 😎,Gen Alpha
How do you usually greet your friends in chat?,hiya 🤩?!,Gen Alpha
How do you usually greet your friends in chat?,Heya 🤩?,Gen Alpha
How do you usually greet your friends in chat?,Hiya 👋!,Gen Alpha
How do you usually greet your friends in chat?,heya 🤩,Gen Alpha
How do you usually greet your friends in chat?,what's good ✨!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,Heyyo 👋!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,Hi! 😎!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,heya 😎!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,What's up ✨,Gen Alpha
How do you usually greet your friends in chat?,Hi! 😄!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,Hey hey 😄?!,Gen Alpha
How do you usually greet your friends in chat?,Heyo 🤩,Gen Alpha
How do you usually greet your friends in chat?,Yo yo 🤩!!!,Gen Alpha
How do you usually greet your friends in chat?,Heya 😊!!!,Gen Alpha
How do you usually greet your friends in chat?,hi there 🤩,Gen Alpha
How do you usually greet your friends in chat?,Hey hey 👋?,Gen Alpha
How do you usually greet your friends in chat?,What's good 😄!!!,Gen Alpha
How do you usually greet your friends in chat?,hi there 🙌?,Gen Alpha
How do you usually greet your friends in chat?,hiya 😎!,Gen Alpha
How do you usually greet your friends in chat?,Hey hey 🤩!!,Gen Alpha
How do you usually greet your friends in chat?,What's new 🤩!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,yooo 🙌!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,How's it going 👍!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,what's up 👍!!,Gen Alpha
How do you usually greet your friends in chat?,Yo yo 😊!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,hiya 🤩,Gen Alpha
How do you usually greet your friends in chat?,hiya 👍!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,hey hey 🤩?,Gen Alpha
How do you usually greet your friends in chat?,hey 👍!!,Gen Alpha
How do you usually greet your friends in chat?,Hey! 🤩!!!,Gen Alpha
How do you usually greet your friends in chat?,yo 😄!!,Gen Alpha
How do you usually greet your friends in chat?,Hi hi 👋,Gen Alpha
How do you usually greet your friends in chat?,hey hey 🙌!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,hello 😊!!!,Gen Alpha
How do you usually greet your friends in chat?,Hey hey 👋!!!,Gen Alpha
How do you usually greet your friends in chat?,what's new ✨!!,Gen Alpha
How do you usually greet your friends in chat?,Hiya 😊!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,What's up 🤩!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,yo yo 😎,Gen Alpha
How do you usually greet your friends in chat?,hey! 🙌?,Gen Alpha
How do you usually greet your friends in chat?,hi there 😄!!,Gen Alpha
How do you usually greet your friends in chat?,Hi there 🙌!!,Gen Alpha
How do you usually greet your friends in chat?,Hey hey 😎?!,Gen Alpha
How do you usually greet your friends in chat?,yo yo 👋?,Gen Alpha
How do you usually greet your friends in chat?,Hi there 👍!,Gen Alpha
How do you usually greet your friends in chat?,hey hey 🙌!!!,Gen Alpha
How do you usually greet your friends in chat?,heyyy 🤩!,Gen Alpha
How do you usually greet your friends in chat?,Heyyo 👋,Gen Alpha
How do you usually greet your friends in chat?,hiya 🤩?,Gen Alpha
How do you usually greet your friends in chat?,hiya 🤩!,Gen Alpha
How do you usually greet your friends in chat?,Hiya 👋!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,hiya 😊,Gen Alpha
How do you usually greet your friends in chat?,What's up 👍!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,Hey hey 👋!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,heya 🤩!!,Gen Alpha
How do you usually greet your friends in chat?,heya 😎,Gen Alpha
How do you usually greet your friends in chat?,hey hey 👍!!,Gen Alpha
How do you usually greet your friends in chat?,Heya 🙌!!,Gen Alpha
How do you usually greet your friends in chat?,Hey hey ✨,Gen Alpha
How do you usually greet your friends in chat?,hey! ✨,Gen Alpha
How do you usually greet your friends in chat?,heya 👍?!,Gen Alpha
How do you usually greet your friends in chat?,What's good 😎!,Gen Alpha
How do you usually greet your friends in chat?,Yo 👍!,Gen Alpha
How do you usually greet your friends in chat?,Hiya 👋!!!,Gen Alpha
How do you usually greet your friends in chat?,yooo! ✨!!,Gen Alpha
How do you usually greet your friends in chat?,hey hey 🤩!!!,Gen Alpha
How do you usually greet your friends in chat?,hey hey 🙌?!,Gen Alpha
How do you usually greet your friends in chat?,yooo 👋!,Gen Alpha
How do you usually greet your friends in chat?,Hey hey 😎,Gen Alpha
How do you usually greet your friends in chat?,What's good 👍!!!,Gen Alpha
How do you usually greet your friends in chat?,yo yo! ✨?,Gen Alpha
How do you usually greet your friends in chat?,hey 👋!!!,Gen Alpha
How do you usually greet your friends in chat?,hi there 😎,Gen Alpha
How do you usually greet your friends in chat?,hiya 😊!,Gen Alpha
How do you usually greet your friends in chat?,hiya 😎!!,Gen Alpha
How do you usually greet your friends in chat?,What's new ✨!!!,Gen Alpha
How do you usually greet your friends in chat?,heya 😎?,Gen Alpha
How do you usually greet your friends in chat?,hi! ✨?!,Gen Alpha
How do you usually greet your friends in chat?,hey hey ✨?!,Gen Alpha
How do you usually greet your friends in chat?,Heya ✨?,Gen Alpha
How do you usually greet your friends in chat?,What's good 🙌!!,Gen Alpha
How do you usually greet your friends in chat?,Yooo 🙌,Gen Alpha
How do you usually greet your friends in chat?,Hiya ✨!,Gen Alpha
How do you usually greet your friends in chat?,hiya 👋!!,Gen Alpha
How do you usually greet your friends in chat?,yo yo 🤩?,Gen Alpha
How do you usually greet your friends in chat?,What's new 🙌!!,Gen Alpha
How do you usually greet your friends in chat?,What's new 👍?!,Gen Alpha
How do you usually greet your friends in chat?,heya 🤩!!! 😄,Gen Alpha
How do you usually greet your friends in chat?,Hello 🙌!,Gen Alpha
How do you usually greet your friends in chat?,heya 👋?!,Gen Alpha
How do you usually greet your friends in chat?,heya 👍!!!,Gen Alpha
How do you usually greet your friends in chat?,how's it going 🙌!!,Gen Alpha
